Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
22,,5.25,2.5854414729132054,-36.136198193816114,2.801169184111391,2.3501203616956268,7.121320343559643,118.0,158.8095238095238,183.0
23,,3.5,2.111004122822376,7.161362549747499,2.724676832948657,1.572925726048864,5.707106781186548,144.0,159.0,169.0
24,,52.25,8.156394191823509,-89.0762222237707,9.526607095077239,7.2877906215152635,27.485281374238568,115.0,143.8181818181818,171.0
25,,28.75,6.050259243299904,74.2095887264588,8.862540122907482,4.252586754088145,22.192388155425117,109.0,132.89565217391305,155.0
26,,4.5,2.393653682408596,67.41021910059669,2.706380403026628,2.130657796310244,6.707106781186548,137.0,152.38888888888889,161.0
27,,8.5,3.2897623212397704,-14.984660081283405,3.7022140720164454,2.980823118988028,9.82842712474619,124.0,137.7941176470588,154.0
28,,19.5,4.982787485166879,-7.405693690214836,5.858074073167005,4.35820465007788,16.242640687119284,123.0,156.51282051282053,183.0
29,,3.75,2.1850968611841584,0.0,2.8284271247461903,1.632993161855452,6.0,142.0,160.13333333333333,177.0
30,,11.75,3.8678889139475245,65.35214736822681,6.310164401308442,2.9623907802997222,14.760407640085653,132.0,153.3404255319149,165.0
31,,147.5,13.704117368456696,63.872167358680514,23.963966583989777,8.882444487231375,65.698484809835,88.0,166.6677966101695,239.0
32,,17.0,4.652426491681278,-0.7514239733062932,4.94124076217823,4.552107531988173,14.82842712474619,107.0,140.13235294117646,153.0
33,,6.25,2.8209479177387813,-84.2562610443717,3.62804515214787,2.2504418175052505,8.603553390593273,117.0,148.96,166.0
34,,106.0,11.617374563210365,-38.17391955381015,15.052388525708237,9.995279848560955,49.798989873223334,106.0,169.81367924528303,237.0
35,,32.0,6.383076486422923,67.38896778355061,7.299091846511677,5.887463210920028,23.69238815542512,119.0,148.5,173.0
36,,18.75,4.886025119029199,-30.087156651118363,5.697957318184524,4.252783945727353,15.65685424949238,112.0,134.12,153.0
37,,9.0,3.385137501286538,-3.6201851519720134,5.289527848615018,2.3132535642048464,12.017766952966369,117.0,138.16666666666666,149.0
38,,15.25,4.406461512053774,51.17575268782046,5.237455851250409,4.208534160549353,15.346194077712559,114.0,143.98360655737704,162.0
39,,9.5,3.477898169151024,16.534592634044685,3.7972261502239726,3.21042603666685,10.121320343559642,135.0,164.39473684210526,188.0
40,,20.5,5.108953969950291,3.6634161450895197,6.241299131392972,4.548282666887645,17.94974746830583,93.0,143.0,169.0
41,,15.0,4.370193722368317,-61.119587502352175,5.329293815578563,3.9984392350172047,14.828427124746192,116.0,149.13333333333333,174.0
42,,11.25,3.7846987830302403,66.43351872493632,4.392995826592707,3.3678740062330186,12.242640687119284,116.0,146.9777777777778,165.0
43,,14.25,4.259537945889915,27.03412347258418,4.680697907565045,3.9790880340315375,13.242640687119286,122.0,160.2982456140351,193.0
44,,15.75,4.478115991081385,78.39749215544926,5.663553776099666,3.6548971273789026,14.82842712474619,113.0,144.6031746031746,165.0
45,,36.5,6.817128675830715,-63.88532780343803,9.39267666190059,5.1729329382044265,24.79594154601839,100.0,152.71917808219177,181.0
46,,36.0,6.770275002573076,1.458475453959574,8.388378167414643,5.584307874436254,22.242640687119284,118.0,161.65277777777777,200.0
